"","NC1","NC2","NC3","SF1","SF2","SF3","SN1","SN2","SN3","10","11","12","13"
"Group","NC","NC","NC","SF","SF","SF","SN","SN","SN","AOV p-value","AOV F-value","KWT p-value","KWT Chi-squared"
"X499.821364","85.420654","87.950274","85.099111","91.839089","96.687168","96.248887","96.215144","97.248497","92.161033","0.00536524569106802","14.1366022477044","0.0664629179866731","5.42222222222222"
"X501.257632","84.341031","87.502619","84.466427","91.857519","96.641266","96.196458","94.783339","95.883658","91.840867","0.0033072208200824","17.1357057895587","0.0509058323363985","5.95555555555556"
"X502.693901","83.210568","87.020905","83.795472","91.852741","96.594887","96.139198","93.29935","94.459567","91.503053","0.00219701903442528","20.0768564324942","0.0509058323363985","5.95555555555556"
"X504.130169","82.009572","86.504999","83.083836","91.818084","96.545867","96.07983","91.752236","92.9631","91.148698","0.00171497812194187","22.0631157608985","0.0389902195744872","6.48888888888889"
"X505.566437","80.869767","86.018018","82.394317","91.799734","96.494529","96.016486","90.311643","91.571934","90.803308","0.0016054139842798","22.62077371969","0.0273237224472925","7.2"
"X507.002706","79.798987","85.553307","81.729011","91.809578","96.450603","95.949969","88.990611","90.302624","90.480187","0.00167245433093785","22.2737585518606","0.0273237224472925","7.2"
"X508.438974","78.916171","85.146998","81.166611","91.81112","96.408652","95.897352","87.946012","89.301077","90.233834","0.00181466870959454","21.5954895465167","0.0273237224472925","7.2"
"X509.875242","78.263752","84.837919","80.73213","91.792225","96.382429","95.859662","87.221594","88.606237","90.064167","0.00197003074481144","20.931150981664","0.0273237224472925","7.2"
"X511.31151","77.969179","84.6783","80.496564","91.776302","96.385138","95.839855","86.992966","88.388533","89.999736","0.00199515162615898","20.8302877181157","0.0273237224472925","7.2"
"X512.747779","77.403521","84.414932","80.118597","91.771002","96.360121","95.812498","86.39879","87.8225","89.859394","0.00214826925949595","20.2501102557373","0.0273237224472925","7.2"
"X514.184047","76.989983","84.206763","79.817011","91.777462","96.326034","95.77775","86.017015","87.464939","89.744566","0.00220410968288069","20.0520836699863","0.0273237224472925","7.2"
"X515.620315","76.469897","83.956548","79.478584","91.776269","96.305946","95.744075","85.523104","86.984435","89.614714","0.00233436492824854","19.6150909230823","0.0273237224472925","7.2"
"X517.056584","76.045541","83.736025","79.194851","91.789062","96.288381","95.720317","85.159136","86.624836","89.529314","0.00240451134476523","19.3930016052417","0.0273237224472925","7.2"
"X518.492852","75.561505","83.502611","78.858219","91.82358","96.277291","95.689582","84.715707","86.207787","89.429568","0.00250929384198222","19.0768656356928","0.0273237224472925","7.2"
"X519.92912","75.141518","83.299047","78.56407","91.850869","96.270883","95.671035","84.376094","85.900539","89.35922","0.00258918972409921","18.8474102106122","0.0273237224472925","7.2"
"X521.365388","74.680188","83.07202","78.248945","91.863017","96.255792","95.654735","83.972612","85.516051","89.266743","0.00270734533340168","18.5248451714317","0.0273237224472925","7.2"
"X522.801657","74.263103","82.854926","77.957573","91.852683","96.249019","95.639545","83.653783","85.208197","89.184087","0.00279290995449202","18.302747025879","0.0273237224472925","7.2"
"X524.237925","73.781454","82.612438","77.640885","91.835287","96.235495","95.618883","83.284422","84.844724","89.085012","0.00291354962768007","18.0045693316757","0.0273237224472925","7.2"
"X525.674193","73.356155","82.386002","77.334746","91.842357","96.219878","95.588188","82.99168","84.555599","88.98329","0.00294756206853962","17.9234647515713","0.0273237224472925","7.2"
"X527.110462","72.88432","82.148273","77.007079","91.855229","96.208769","95.562301","82.641187","84.22238","88.879707","0.0030253038910391","17.7426824797166","0.0273237224472925","7.2"
"X528.54673","72.452344","81.927864","76.719174","91.847692","96.191978","95.55185","82.349395","83.947152","88.802258","0.00310471978084583","17.5642930994683","0.0273237224472925","7.2"
"X529.982998","72.001461","81.690896","76.4006","91.829943","96.185637","95.533062","82.016123","83.632407","88.702273","0.00319082280078474","17.3776309408585","0.0273237224472925","7.2"
"X531.419266","71.589974","81.460082","76.094542","91.825638","96.185506","95.507413","81.7332","83.374373","88.611608","0.00322186700786298","17.3119702371523","0.0273237224472925","7.2"
"X532.855535","71.148363","81.216417","75.77797","91.839059","96.169441","95.475878","81.407072","83.079216","88.511424","0.00326309804490353","17.226056389587","0.0273237224472925","7.2"
"X534.291803","70.738306","80.988612","75.477104","91.834427","96.1599","95.446759","81.132848","82.850938","88.420302","0.00328925130722524","17.172307017862","0.0273237224472925","7.2"
"X535.728071","70.285616","80.747468","75.157825","91.818775","96.149743","95.422742","80.808303","82.578945","88.330555","0.00336613437484891","17.0175430769996","0.0273237224472925","7.2"
"X537.16434","69.875259","80.51421","74.846173","91.838709","96.130116","95.393547","80.531194","82.349902","88.238986","0.00336659822444367","17.0166236963575","0.0273237224472925","7.2"
"X538.600608","69.438358","80.282344","74.515884","91.863257","96.115645","95.363465","80.222574","82.094345","88.131695","0.00338808609357817","16.9742175428724","0.0389902195744872","6.48888888888889"
"X540.036876","69.028736","80.071898","74.212503","91.854665","96.102901","95.348448","79.956242","81.879106","88.043118","0.00343225050072169","16.8881748295374","0.0389902195744872","6.48888888888889"
