Wavelength,NC1,NC2,NC3,SF1,SF2,SF3,SN1,SN2,SN3
Group,NC,NC,NC,SF,SF,SF,SN,SN,SN
499.821364,85.420654,87.950274,85.099111,91.839089,96.687168,96.248887,96.215144,97.248497,92.161033
501.257632,84.341031,87.502619,84.466427,91.857519,96.641266,96.196458,94.783339,95.883658,91.840867
502.693901,83.210568,87.020905,83.795472,91.852741,96.594887,96.139198,93.29935,94.459567,91.503053
504.130169,82.009572,86.504999,83.083836,91.818084,96.545867,96.07983,91.752236,92.9631,91.148698
505.566437,80.869767,86.018018,82.394317,91.799734,96.494529,96.016486,90.311643,91.571934,90.803308
507.002706,79.798987,85.553307,81.729011,91.809578,96.450603,95.949969,88.990611,90.302624,90.480187
508.438974,78.916171,85.146998,81.166611,91.81112,96.408652,95.897352,87.946012,89.301077,90.233834
509.875242,78.263752,84.837919,80.73213,91.792225,96.382429,95.859662,87.221594,88.606237,90.064167
511.31151,77.969179,84.6783,80.496564,91.776302,96.385138,95.839855,86.992966,88.388533,89.999736
512.747779,77.403521,84.414932,80.118597,91.771002,96.360121,95.812498,86.39879,87.8225,89.859394
514.184047,76.989983,84.206763,79.817011,91.777462,96.326034,95.77775,86.017015,87.464939,89.744566
515.620315,76.469897,83.956548,79.478584,91.776269,96.305946,95.744075,85.523104,86.984435,89.614714
517.056584,76.045541,83.736025,79.194851,91.789062,96.288381,95.720317,85.159136,86.624836,89.529314
518.492852,75.561505,83.502611,78.858219,91.82358,96.277291,95.689582,84.715707,86.207787,89.429568
519.92912,75.141518,83.299047,78.56407,91.850869,96.270883,95.671035,84.376094,85.900539,89.35922
521.365388,74.680188,83.07202,78.248945,91.863017,96.255792,95.654735,83.972612,85.516051,89.266743
522.801657,74.263103,82.854926,77.957573,91.852683,96.249019,95.639545,83.653783,85.208197,89.184087
524.237925,73.781454,82.612438,77.640885,91.835287,96.235495,95.618883,83.284422,84.844724,89.085012
525.674193,73.356155,82.386002,77.334746,91.842357,96.219878,95.588188,82.99168,84.555599,88.98329
527.110462,72.88432,82.148273,77.007079,91.855229,96.208769,95.562301,82.641187,84.22238,88.879707
528.54673,72.452344,81.927864,76.719174,91.847692,96.191978,95.55185,82.349395,83.947152,88.802258
529.982998,72.001461,81.690896,76.4006,91.829943,96.185637,95.533062,82.016123,83.632407,88.702273
531.419266,71.589974,81.460082,76.094542,91.825638,96.185506,95.507413,81.7332,83.374373,88.611608
532.855535,71.148363,81.216417,75.77797,91.839059,96.169441,95.475878,81.407072,83.079216,88.511424
534.291803,70.738306,80.988612,75.477104,91.834427,96.1599,95.446759,81.132848,82.850938,88.420302
535.728071,70.285616,80.747468,75.157825,91.818775,96.149743,95.422742,80.808303,82.578945,88.330555
537.16434,69.875259,80.51421,74.846173,91.838709,96.130116,95.393547,80.531194,82.349902,88.238986
538.600608,69.438358,80.282344,74.515884,91.863257,96.115645,95.363465,80.222574,82.094345,88.131695
540.036876,69.028736,80.071898,74.212503,91.854665,96.102901,95.348448,79.956242,81.879106,88.043118
541.473144,68.5904,79.841424,73.885909,91.833666,96.095968,95.331402,79.654337,81.630177,87.953283
542.909413,68.164625,79.622366,73.565471,91.820348,96.093378,95.308696,79.398426,81.422394,87.890824
544.345681,67.711969,79.408718,73.239308,91.818882,96.076159,95.286967,79.123867,81.174319,87.830066
545.781949,67.285928,79.204695,72.93749,91.820479,96.065067,95.272586,78.8993,80.979549,87.759166
547.218218,66.822471,78.994504,72.63838,91.82876,96.062895,95.267633,78.643078,80.772057,87.681582
548.654486,66.389714,78.800061,72.350077,91.853983,96.058004,95.264769,78.438247,80.605909,87.615131
550.090754,65.934529,78.594396,72.036545,91.88258,96.060407,95.254909,78.219782,80.410504,87.555539
551.527022,65.510751,78.399592,71.754288,91.922465,96.065064,95.252301,78.05156,80.25753,87.547103
552.963291,65.078306,78.204987,71.474685,91.984716,96.06944,95.261944,77.881176,80.100089,87.565092
554.399559,64.654971,78.034283,71.204974,92.057466,96.08288,95.279689,77.763792,79.991863,87.599821
555.835827,64.216225,77.86006,70.930844,92.150048,96.092149,95.299284,77.636133,79.856686,87.634565
557.272096,63.829208,77.679784,70.670771,92.256064,96.104232,95.325286,77.565239,79.759872,87.671065
558.708364,63.432507,77.506234,70.401989,92.355757,96.121748,95.362527,77.473035,79.637727,87.710561
560.144632,63.081471,77.363247,70.16,92.452741,96.13675,95.402255,77.414515,79.550021,87.775012
561.580901,62.725678,77.21214,69.915677,92.539093,96.160493,95.428868,77.337109,79.436905,87.851736
563.017169,62.401919,77.08977,69.691212,92.622845,96.1841,95.452332,77.287652,79.345069,87.949212
564.453437,62.086841,76.977337,69.476951,92.711647,96.198448,95.478487,77.213602,79.246331,88.025282
565.889705,61.789274,76.857152,69.297073,92.776071,96.226437,95.498189,77.161313,79.19231,88.062256
567.325974,61.480588,76.741155,69.122291,92.820352,96.255052,95.506771,77.071384,79.101146,88.062176
568.762242,61.227779,76.657783,68.961378,92.861266,96.268923,95.511428,77.008394,79.033466,88.050995
570.19851,60.960494,76.574146,68.802871,92.888321,96.27838,95.510659,76.920253,78.942428,88.041619
571.634779,60.727383,76.503992,68.673082,92.903597,96.280456,95.50672,76.855152,78.87994,88.059615
